Complaint ID,Product,Sub-product,Issue,State,ZIP code,Date received,Company,Company response,Timely response?,Consumer disputed?,mes
1287765,Consumer loan,Vehicle loan,Problems when you are unable to pay,IL,61554.0,0 days,Navy FCU,In progress,True,,3
1288273,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,MD,21704.0,1 days,"Credit Protection Association, L.P.",Closed with explanation,True,,3
1286793,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,FL,33063.0,0 days,Stellar Recovery Inc.,Closed with explanation,True,,3
1288199,Debt collection,,Cont'd attempts collect debt not owed,IA,51526.0,0 days,Synergetic Communication Inc,Closed with explanation,True,Yes,3
1287753,Debt collection,,Cont'd attempts collect debt not owed,CA,94610.0,0 days,Niagara Portfolio Solutions LLC,Closed,True,,3
1285893,Credit card,,Other,MI,48088.0,0 days,Amex,Closed with explanation,True,,3
1285956,Debt collection,,Disclosure verification of debt,FL,33462.0,0 days,Citibank,Closed with explanation,True,,3
1286966,Credit card,,Late fee,GA,30075.0,0 days,Wells Fargo,Closed with monetary relief,True,,3
1287395,Consumer loan,Vehicle loan,Taking out the loan or lease,KY,42223.0,0 days,Navy FCU,In progress,True,,3
1287443,Credit reporting,,Incorrect information on credit report,MI,48473.0,0 days,TransUnion,Closed with non-monetary relief,True,,3
1286928,Consumer loan,Vehicle loan,Taking out the loan or lease,NY,11415.0,0 days,Ally Financial Inc.,In progress,True,,3
1287315,Debt collection,Medical,Cont'd attempts collect debt not owed,FL,34473.0,0 days,Transworld Systems Inc.,In progress,True,,3
1287293,Consumer loan,Vehicle loan,Problems when you are unable to pay,WI,53105.0,0 days,Ally Financial Inc.,In progress,True,,3
1287285,Bank account or service,Checking account,"Account opening, closing, or management",CA,90801.0,1 days,JPMorgan Chase,Closed with explanation,True,,3
1287601,Debt collection,,Communication tactics,LA,70774.0,0 days,"Receivable Recovery Services, LLC",In progress,True,,3
1286199,Debt collection,,Improper contact or sharing of info,NC,27205.0,0 days,"ONLINE Information Services, Inc.",Closed with explanation,True,,3
1286421,Debt collection,Medical,Cont'd attempts collect debt not owed,IL,61032.0,0 days,Armor Systems Corporation,Closed,True,Yes,3
1286515,Credit reporting,,Incorrect information on credit report,CO,80540.0,0 days,First Advantage Corporation,Closed with explanation,True,,3
1286004,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,OK,73072.0,0 days,"Franklin Collection Service, Inc.",Closed with explanation,True,,3
1286368,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,MA,2038.0,0 days,"Associated Credit Services, Inc.",In progress,True,,3
1286384,Debt collection,Medical,Cont'd attempts collect debt not owed,IL,62704.0,0 days,MiraMed Revenue Group LLC,Closed,True,,3
1286200,Debt collection,Medical,Improper contact or sharing of info,TN,37074.0,0 days,Transworld Systems Inc.,In progress,True,,3
1286314,Mortgage,FHA mortgage,Credit decision / Underwriting,NE,68135.0,0 days,LoanDepot,Closed with explanation,True,Yes,3
1286211,Consumer loan,Personal line of credit,Managing the line of credit,IA,50317.0,1 days,Wells Fargo,Closed with explanation,True,,3
1286231,Payday loan,,Can't stop charges to bank account,KS,66606.0,0 days,Speedy Cash Holdings,Closed with explanation,True,Yes,3
1286224,Debt collection,,Cont'd attempts collect debt not owed,MO,63040.0,0 days,Springleaf Finance Corporation,In progress,True,,3
1285422,Payday loan,,Charged fees or interest I didn't expect,TX,76205.0,0 days,ACE Cash Express Inc.,In progress,True,,3
1284912,Payday loan,,Can't contact lender,OR,97070.0,0 days,"CashCall, Inc.",Closed with explanation,True,,3
1284746,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",NH,3753.0,2 days,Wells Fargo,Closed with explanation,True,,3
1284068,Credit reporting,,Improper use of my credit report,OH,44121.0,0 days,TransUnion,Closed with explanation,True,,3
1287644,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",CO,80516.0,1 days,Bank of America,In progress,True,,3
1288174,Debt collection,,Cont'd attempts collect debt not owed,MD,21085.0,1 days,"Premium Asset Services, LLC",In progress,True,,3
1286165,Debt collection,Medical,Communication tactics,WA,98311.0,1 days,"P.S.C., Inc",Closed with explanation,True,,3
1286144,Debt collection,,Cont'd attempts collect debt not owed,CA,91355.0,1 days,"Acquired Assets, Ltd.",Closed with explanation,True,,3
1286143,Credit reporting,,Incorrect information on credit report,CA,90280.0,1 days,TransUnion,Closed with explanation,True,,3
1286134,Debt collection,,Communication tactics,IN,46307.0,1 days,JPMorgan Chase,Closed with explanation,True,,3
1284406,Bank account or service,Checking account,Using a debit or ATM card,CA,92844.0,0 days,Navy FCU,In progress,True,,3
1284387,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,NC,28365.0,0 days,"Diversified Adjustment Service, Inc.",Closed with explanation,True,,3
1283979,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",OH,43204.0,0 days,Bank of America,In progress,True,,3
1283784,Credit card,,Delinquent account,CA,90201.0,0 days,First National Bank of Omaha,Closed with explanation,True,Yes,3
1283880,Consumer loan,Vehicle loan,Problems when you are unable to pay,FL,33179.0,0 days,Nissan Motor Acceptance Corporation,In progress,True,,3
1283819,Credit reporting,,Incorrect information on credit report,ND,58104.0,0 days,TransUnion,Closed with explanation,True,,3
1283806,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",CA,95132.0,0 days,"Select Portfolio Servicing, Inc",Closed with explanation,True,,3
1283881,Consumer loan,Vehicle loan,Problems when you are unable to pay,FL,33179.0,0 days,Mercedes-Benz Financial Services,Closed with explanation,True,,3
1283920,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,GA,30093.0,0 days,"Pinnacle Recovery, Inc.",Closed with explanation,True,Yes,3
1283913,Consumer loan,Vehicle lease,Problems when you are unable to pay,FL,33154.0,0 days,Ally Financial Inc.,In progress,True,,3
1284333,Credit reporting,,Incorrect information on credit report,MI,48237.0,0 days,TransUnion,Closed with non-monetary relief,True,Yes,3
1283995,Debt collection,Medical,Improper contact or sharing of info,WA,98115.0,0 days,Renton Collections Inc.,Closed with explanation,True,Yes,3
1284095,Credit card,,Billing statement,CA,94709.0,0 days,Wells Fargo,Closed with explanation,True,,3
1284000,Bank account or service,Checking account,Problems caused by my funds being low,PA,19064.0,2 days,Santander Bank US,In progress,True,,3
1284115,Credit card,,Other,OH,43702.0,0 days,Wells Fargo,Closed with explanation,True,,3
1284284,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",NJ,8059.0,0 days,Santander Bank US,In progress,True,,3
1284197,Debt collection,Medical,Cont'd attempts collect debt not owed,PA,18102.0,0 days,"Professional Medical Management, Inc.",Closed with non-monetary relief,True,,3
1284165,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",DC,20008.0,0 days,"PrimeLending, A PlainsCapital Company",In progress,True,,3
1284230,Consumer loan,Vehicle loan,Managing the loan or lease,NC,27707.0,0 days,BB&T Financial,Closed with explanation,True,,3
1285212,Consumer loan,Vehicle lease,Managing the loan or lease,NH,3290.0,0 days,Nissan Motor Acceptance Corporation,In progress,True,,3
1284552,Debt collection,,Cont'd attempts collect debt not owed,FL,32086.0,0 days,Transworld Systems Inc.,Closed with explanation,True,,3
1284412,Debt collection,"Other (phone, health club, etc.)",Communication tactics,NV,89148.0,0 days,"First Service Residential, Nevada, LLC",Closed with explanation,True,Yes,3
1284660,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,TX,77062.0,0 days,"Certified Recovery Systems, Inc.",Closed with non-monetary relief,True,,3
1284638,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,AL,36054.0,0 days,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,True,,3
1284632,Student loan,Non-federal student loan,Can't repay my loan,MI,49504.0,0 days,JPMorgan Chase,Closed with explanation,True,,3
1284619,Consumer loan,Vehicle loan,Taking out the loan or lease,NC,27519.0,0 days,Toyota Motor Credit Corporation,Closed with explanation,True,,3
1284567,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,CA,95757.0,0 days,American Coradius International LLC,Closed with explanation,True,,3
1285211,Credit reporting,,Incorrect information on credit report,OK,73189.0,0 days,TransUnion,Closed with explanation,True,,3
1284903,Consumer loan,Vehicle loan,Problems when you are unable to pay,KY,41048.0,0 days,Ally Financial Inc.,In progress,True,,3
1284692,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,FL,32789.0,1 days,"The CMI Group, Inc.",Closed with explanation,True,,3
1284673,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",KY,40047.0,0 days,Citibank,Closed with monetary relief,True,,3
1284896,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",MD,20602.0,0 days,"Bayview Loan Servicing, LLC",In progress,True,,3
1284851,Debt collection,Mortgage,Improper contact or sharing of info,CA,93065.0,0 days,"JH Portfolio Debt Equities, LLC",Closed with explanation,True,,3
1284763,Credit reporting,,Incorrect information on credit report,GA,30338.0,0 days,TransUnion,Closed with explanation,True,,3
1285160,Bank account or service,Checking account,"Making/receiving payments, sending money",MD,20901.0,0 days,JPMorgan Chase,Closed with explanation,True,,3
1284983,Payday loan,,Charged bank acct wrong day or amt,NJ,8021.0,0 days,ACE Cash Express Inc.,In progress,True,,3
1284944,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,WA,99403.0,0 days,Arbor Residential Mortgage LLC,In progress,True,,3
1284955,Credit reporting,,Incorrect information on credit report,FL,33063.0,0 days,TransUnion,Closed with explanation,True,,3
1285144,Consumer loan,Vehicle lease,Managing the loan or lease,NY,11725.0,0 days,Nissan Motor Acceptance Corporation,In progress,True,,3
1285040,Consumer loan,Installment loan,Managing the loan or lease,WI,54403.0,1 days,"CashCall, Inc.",Closed with explanation,True,,3
1285106,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",TX,77502.0,0 days,Nationstar Mortgage,Closed with explanation,True,,3
1285061,Payday loan,,Received a loan I didn't apply for,MO,63012.0,0 days,Speedy Cash Holdings,Closed,True,,3
1286088,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,NY,13440.0,1 days,"Mercantile Adjustment Bureau, LLC",Closed with explanation,True,,3
1283757,Consumer loan,Vehicle loan,Managing the loan or lease,TX,77373.0,0 days,Ally Financial Inc.,In progress,True,,3
1285383,Credit reporting,,Incorrect information on credit report,TX,75169.0,0 days,"On-Site Manager, Inc.",Closed with non-monetary relief,True,,3
1285237,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,IL,60620.0,0 days,"Contract Callers, Inc.",Closed,True,,3
1285289,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",CA,95376.0,0 days,Ocwen,Closed with explanation,True,,3
1285841,Debt collection,,Cont'd attempts collect debt not owed,MI,48188.0,0 days,Transworld Systems Inc.,In progress,True,,3
1285463,Credit reporting,,Credit reporting company's investigation,TX,77362.0,0 days,TransUnion,Closed with explanation,True,,3
1285447,Bank account or service,Savings account,"Account opening, closing, or management",NC,28208.0,0 days,"FNIS (Fidelity National Information Services, Inc.)",In progress,True,,3
1285435,Student loan,Non-federal student loan,Can't repay my loan,TX,78251.0,0 days,Wells Fargo,Closed with explanation,True,,3
1285840,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,PA,17202.0,0 days,"Convergent Resources, Inc.",Closed with explanation,True,,3
1285573,Money transfers,Domestic (US) money transfer,Other service issues,TN,38141.0,0 days,MoneyGram,In progress,True,,3
1285480,Bank account or service,Savings account,"Account opening, closing, or management",NY,12015.0,1 days,First Niagara Bank,In progress,True,,3
1285560,Debt collection,,Disclosure verification of debt,ME,4605.0,0 days,"Southwest Credit Systems, L.P.",In progress,True,,3
1286087,Money transfers,International money transfer,Money was not available when promised,TN,37087.0,1 days,Xoom,Closed with explanation,True,,3
1286053,Bank account or service,Checking account,Deposits and withdrawals,CA,95624.0,0 days,Wells Fargo,Closed with explanation,True,Yes,3
1284366,Payday loan,,Charged fees or interest I didn't expect,MO,64052.0,0 days,Speedy Cash Holdings,Closed with explanation,True,,3
1286082,Bank account or service,Checking account,Deposits and withdrawals,TX,75006.0,1 days,JPMorgan Chase,Closed with explanation,True,,3
1286132,Credit reporting,,Incorrect information on credit report,IN,47872.0,1 days,TransUnion,Closed with non-monetary relief,True,,3
1286079,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,CT,6478.0,1 days,"CCS Financial Services, Inc.",Closed with explanation,True,,3
1286076,Debt collection,Credit card,Cont'd attempts collect debt not owed,TX,78501.0,1 days,"Asta Funding, Inc",Closed with explanation,True,Yes,3
1286078,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",NJ,8016.0,1 days,Aurora Financial Group Inc.,Closed with explanation,True,,3
1283561,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,PA,18840.0,2 days,Transworld Systems Inc.,In progress,True,,3
1283468,Credit reporting,,Incorrect information on credit report,TN,37160.0,0 days,"FNIS (Fidelity National Information Services, Inc.)",Closed with explanation,True,,3
1283462,Credit reporting,,Incorrect information on credit report,PA,19124.0,0 days,Equifax,Closed with explanation,True,,3
1283463,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,CT,6513.0,0 days,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,True,,3
1283492,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,CA,90249.0,0 days,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,True,,3
1283484,Credit reporting,,Incorrect information on credit report,GA,31313.0,0 days,TransUnion,Closed with explanation,True,,3
1283476,Debt collection,"Other (phone, health club, etc.)",Taking/threatening an illegal action,NJ,7018.0,0 days,Transworld Systems Inc.,In progress,True,,3
1283470,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,GA,30333.0,0 days,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,True,,3
1283531,Credit reporting,,Incorrect information on credit report,NY,13044.0,0 days,Equifax,Closed with explanation,True,,3
1283672,Credit reporting,,Incorrect information on credit report,CO,80016.0,0 days,TransUnion,Closed with explanation,True,,3
1283560,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",OK,74112.0,0 days,"Green Tree Servicing, LLC",Closed with explanation,True,,3
1283586,Credit reporting,,Unable to get credit report/credit score,FL,34481.0,0 days,Equifax,Closed with explanation,True,,3
1283549,Debt collection,Medical,Cont'd attempts collect debt not owed,TX,75010.0,0 days,"Synerprise Consulting Services, Inc.",Closed with explanation,True,,3
1283584,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",NJ,8322.0,0 days,Wells Fargo,Closed with explanation,True,,3
1283578,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,NM,87108.0,0 days,Transworld Systems Inc.,In progress,True,,3
1283562,Debt collection,"Other (phone, health club, etc.)",Improper contact or sharing of info,PA,18840.0,0 days,Army and Air Force Exchange Service,Closed with explanation,True,,3
1283610,Debt collection,Medical,Cont'd attempts collect debt not owed,NY,11365.0,0 days,"ONLINE Information Services, Inc.",Closed with explanation,True,,3
1283671,Credit reporting,,Incorrect information on credit report,NC,27705.0,0 days,Equifax,Closed with explanation,True,,3
1283602,Consumer loan,Installment loan,Shopping for a loan or lease,FL,33971.0,2 days,Wells Fargo,Closed with explanation,True,,3
1283600,Debt collection,,Disclosure verification of debt,OH,45895.0,0 days,"Crown Asset Management, LLC",Closed,True,Yes,3
1283659,Debt collection,Medical,Cont'd attempts collect debt not owed,TX,75054.0,0 days,"ProCollect, Inc",Closed with explanation,True,,3
1283626,Credit reporting,,Incorrect information on credit report,CT,6902.0,0 days,TransUnion,Closed with non-monetary relief,True,,3
1283619,Credit reporting,,Incorrect information on credit report,NY,14034.0,0 days,Equifax,Closed with explanation,True,,3
1283457,Credit card,,Delinquent account,PA,19124.0,1 days,Discover,Closed with explanation,True,Yes,3
1283651,Debt collection,Credit card,Cont'd attempts collect debt not owed,GA,30040.0,0 days,"Amsher Collection Services, Inc.",Closed with explanation,True,,3
1283453,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,CA,92078.0,0 days,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,True,,3
1283956,Debt collection,Medical,Disclosure verification of debt,TX,75211.0,1 days,"ProCollect, Inc",Closed with explanation,True,,3
1283951,Debt collection,,Cont'd attempts collect debt not owed,SC,29016.0,1 days,"Designed Receivable Solultions, Inc.",Closed with explanation,True,,3
1283272,Debt collection,Medical,Cont'd attempts collect debt not owed,FL,33137.0,0 days,Transworld Systems Inc.,Closed with explanation,True,,3
1283387,Money transfers,Domestic (US) money transfer,Fraud or scam,NC,27349.0,0 days,MoneyGram,In progress,True,,3
1283354,Credit reporting,,Incorrect information on credit report,MA,2563.0,0 days,TransUnion,Closed with non-monetary relief,True,,3
1283356,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,IL,60649.0,0 days,"Arnold Scott Harris, P.C.",Closed with explanation,True,,3
1283350,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",AZ,85387.0,2 days,Ally Financial Inc.,In progress,True,,3
1283339,Debt collection,,Cont'd attempts collect debt not owed,FL,34653.0,0 days,"National Enterprise Systems, Inc.",Closed with explanation,True,,3
1283333,Credit reporting,,Unable to get credit report/credit score,NY,11204.0,0 days,Equifax,Closed with explanation,True,,3
1283316,Credit reporting,,Incorrect information on credit report,FL,32835.0,0 days,Equifax,Closed with explanation,True,,3
1283196,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",ME,4042.0,0 days,"Green Tree Servicing, LLC",Closed with explanation,True,Yes,3
1283180,Credit reporting,,Incorrect information on credit report,NY,10940.0,0 days,Equifax,In progress,True,,3
1283310,Credit reporting,,Credit reporting company's investigation,NY,14905.0,0 days,Equifax,In progress,True,,3
1283259,Payday loan,,Payment to acct not credited,TX,77065.0,0 days,Speedy Cash Holdings,Closed with explanation,True,,3
1283255,Credit reporting,,Incorrect information on credit report,MO,65066.0,0 days,Equifax,Closed with explanation,True,,3
1283263,Credit reporting,,Unable to get credit report/credit score,TX,79109.0,0 days,Equifax,Closed with explanation,True,,3
1283260,Payday loan,,Charged fees or interest I didn't expect,OR,97801.0,0 days,Red Rock Tribal Lending,Closed with explanation,True,,3
1283275,Credit reporting,,Incorrect information on credit report,OH,44001.0,0 days,Equifax,In progress,True,,3
1283295,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",PA,19543.0,0 days,Wells Fargo,Closed with explanation,True,Yes,3
1283322,Consumer loan,Vehicle loan,Managing the loan or lease,NY,14215.0,0 days,Ally Financial Inc.,In progress,True,,3
1283331,Debt collection,Mortgage,Communication tactics,NC,28358.0,0 days,Nationstar Mortgage,Closed with explanation,True,,3
1283329,Credit reporting,,Unable to get credit report/credit score,CA,91506.0,0 days,Equifax,Closed with non-monetary relief,True,,3
1283344,Credit reporting,,Incorrect information on credit report,OH,43512.0,0 days,Equifax,Closed with non-monetary relief,True,,3
1283362,Credit reporting,,Incorrect information on credit report,WI,53051.0,0 days,TransUnion,Closed with explanation,True,,3
1283359,Debt collection,Auto,Improper contact or sharing of info,FL,32583.0,0 days,"Nicholas Financial, Inc.",Closed with explanation,True,Yes,3
1283385,Consumer loan,Vehicle loan,Managing the loan or lease,FL,33813.0,0 days,Toyota Motor Credit Corporation,Closed with explanation,True,,3
1283373,Credit reporting,,Incorrect information on credit report,NC,28625.0,0 days,Equifax,Closed with explanation,True,,3
1283369,Debt collection,Medical,False statements or representation,FL,33458.0,0 days,"Jon Barry and Associates, Inc.",Closed with non-monetary relief,True,,3
1283368,Credit card,,Other,MD,21830.0,0 days,JPMorgan Chase,Closed with explanation,True,,3
1283392,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,TN,38116.0,0 days,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,True,Yes,3
1283388,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",OH,44708.0,0 days,U.S. Bancorp,Closed with explanation,True,,3
1283401,Debt collection,Medical,Cont'd attempts collect debt not owed,NY,13317.0,0 days,"Overton, Russell, Doerr and Donovan, LLP",Closed with explanation,True,,3
1283514,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",CA,92119.0,1 days,Ocwen,Closed with explanation,True,Yes,3
1283167,Credit reporting,,Incorrect information on credit report,AP,96517.0,0 days,Equifax,In progress,True,,3
1283429,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",MD,20814.0,0 days,Nationstar Mortgage,Closed with explanation,True,,3
1283418,Bank account or service,Other bank product/service,"Account opening, closing, or management",CA,94549.0,0 days,Wells Fargo,Closed with explanation,True,,3
1283404,Credit reporting,,Unable to get credit report/credit score,CA,94002.0,0 days,Equifax,Closed with explanation,True,,3
1283411,Credit card,,Other,NC,27513.0,0 days,Wells Fargo,Closed with explanation,True,Yes,3
1283409,Credit reporting,,Incorrect information on credit report,NY,13367.0,0 days,Equifax,Closed with explanation,True,,3
1283513,Credit reporting,,Improper use of my credit report,NY,13090.0,1 days,"Sterling Infosystems, Inc.",Closed with explanation,True,,3
1283512,Credit reporting,,Credit reporting company's investigation,MI,48317.0,1 days,Equifax,Closed with explanation,True,,3
1283155,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,TN,37047.0,0 days,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,True,,3
1283511,Debt collection,Medical,Disclosure verification of debt,SC,29485.0,1 days,Midwestern Health Management INC,Closed with explanation,True,,3
1283508,Credit reporting,,Incorrect information on credit report,CA,95677.0,1 days,Equifax,Closed with non-monetary relief,True,,3
1283495,Credit reporting,,Credit reporting company's investigation,IL,62864.0,1 days,Equifax,Closed with explanation,True,,3
